t,I,V,gt
8696.000000,80.022300,74.732100,0.054177
8726.000000,80.003700,74.739500,0.055219
8756.000000,80.016100,74.754400,0.056261
8786.000000,80.022300,74.761900,0.057303
8816.000000,80.009900,74.769300,0.058345
8846.000000,80.016100,74.784200,0.059387
8876.000000,80.009900,74.799100,0.060428
8906.000000,80.022300,74.813900,0.061470
8936.000000,80.016100,74.821400,0.062512
8966.000000,80.016100,74.836300,0.063554
8996.000000,80.022300,74.851100,0.064596
9026.000000,80.016100,74.851100,0.065638
9056.000000,80.028500,74.866000,0.066680
9086.000000,80.022300,74.880900,0.067722
9116.000000,80.016100,74.888300,0.068764
9146.000000,80.009900,74.895800,0.069806
9176.000000,80.009900,74.903200,0.070847
9206.000000,80.022300,74.910700,0.071889
9236.000000,80.016100,74.918100,0.072931
9266.000000,80.016100,74.925500,0.073973
9296.000000,80.016100,74.940400,0.075015
9326.000000,80.016100,74.947900,0.076057
9356.000000,80.022300,74.962700,0.077099
9386.000000,80.022300,74.970200,0.078141
9416.000000,80.022300,74.977600,0.079183
9446.000000,80.016100,74.985100,0.080225
9476.000000,80.016100,74.992500,0.081267
9506.000000,80.009900,75.000000,0.082308
9536.000000,80.003700,75.007400,0.083350
9566.000000,80.016100,75.007400,0.084392
9596.000000,80.022300,75.022300,0.085434
9626.000000,80.022300,75.029700,0.086476
9656.000000,80.009900,75.037200,0.087518
9686.000000,80.016100,75.044600,0.088559
9716.000000,80.009900,75.044600,0.089601
9746.000000,80.016100,75.052000,0.090643
9776.000000,80.016100,75.059500,0.091685
9806.000000,80.016100,75.074400,0.092727
9836.000000,80.016100,75.074400,0.093769
9866.000000,80.022300,75.089200,0.094811
9896.000000,80.016100,75.089200,0.095853
9926.000000,80.016100,75.096700,0.096894
9956.000000,80.022300,75.104100,0.097936
9986.000000,80.009900,75.104100,0.098978
10016.000000,80.016100,75.111600,0.100020
10046.000000,80.016100,75.119000,0.101062
10076.000000,80.016100,75.126400,0.102104
10106.000000,80.016100,75.133900,0.103146
10136.000000,80.016100,75.133900,0.104188
10166.000000,80.009900,75.141300,0.105229
10196.000000,80.022300,75.148800,0.106271
10226.000000,80.022300,75.156200,0.107313
10256.000000,80.016100,75.163600,0.108355
10286.000000,80.028500,75.163600,0.109397
10316.000000,80.016100,75.163600,0.110439
10346.000000,80.009900,75.171100,0.111481
10376.000000,80.022300,75.178500,0.112523
10406.000000,80.016100,75.186000,0.113565
10436.000000,80.009900,75.186000,0.114607
10466.000000,80.016100,75.200800,0.115648
10496.000000,80.022300,75.200800,0.116690
10526.000000,80.028500,75.208300,0.117732
10556.000000,80.022300,75.215700,0.118774
10586.000000,80.022300,75.223200,0.119816
10616.000000,80.022300,75.252900,0.120858
10646.000000,80.016100,75.275200,0.121900
10676.000000,80.016100,75.297600,0.122942
10706.000000,80.022300,75.319900,0.123984
10736.000000,80.022300,75.334800,0.125026
10736.000000,0.000000,70.877900,0.125026
10766.000000,0.000000,70.438900,0.125026
10796.000000,0.000000,70.297600,0.125026
10796.000000,-80.009900,67.135400,0.125026
10826.000000,-80.003700,65.468700,0.123846
10856.000000,-79.997500,65.275200,0.122667
10886.000000,-80.003700,65.260400,0.121488
10916.000000,-80.009900,65.252900,0.120308
10946.000000,-80.003700,65.230600,0.119128
10976.000000,-80.003700,65.215700,0.117949
11006.000000,-80.003700,65.200800,0.116769
11036.000000,-79.997500,65.186000,0.115590
11066.000000,-80.009900,65.163600,0.114410
11096.000000,-80.009900,65.148800,0.113231
11126.000000,-80.003700,65.141300,0.112051
11156.000000,-80.003700,65.126400,0.110872
11186.000000,-79.997500,65.111600,0.109692
11216.000000,-80.003700,65.096700,0.108513
11246.000000,-80.003700,65.089200,0.107333
11276.000000,-80.003700,65.074400,0.106154
11306.000000,-79.997500,65.059500,0.104974
11336.000000,-79.997500,65.052000,0.103795
11366.000000,-80.003700,65.029700,0.102615
11396.000000,-79.997500,65.014800,0.101436
11426.000000,-80.009900,65.000000,0.100256
11456.000000,-80.003700,64.992500,0.099077
11486.000000,-80.003700,64.977600,0.097897
11516.000000,-80.003700,64.962700,0.096718
11546.000000,-80.003700,64.955300,0.095538
11576.000000,-80.003700,64.933000,0.094359
11606.000000,-79.997500,64.925500,0.093179
11636.000000,-80.003700,64.903200,0.092000
11666.000000,-79.997500,64.888300,0.090821
11696.000000,-80.003700,64.873500,0.089641
11726.000000,-79.997500,64.858600,0.088462
11756.000000,-80.009900,64.836300,0.087282
11786.000000,-80.003700,64.836300,0.086102
11816.000000,-79.997500,64.813900,0.084923
11846.000000,-80.003700,64.806500,0.083744
11876.000000,-79.997500,64.784200,0.082564
11906.000000,-80.003700,64.761900,0.081385
11936.000000,-80.003700,64.754400,0.080205
11966.000000,-79.997500,64.739500,0.079026
11996.000000,-80.003700,64.724700,0.077846
12026.000000,-80.003700,64.709800,0.076667
12056.000000,-79.997500,64.694900,0.075487
12086.000000,-79.997500,64.672600,0.074308
12116.000000,-80.009900,64.650200,0.073128
12146.000000,-80.003700,64.642800,0.071949
12176.000000,-80.003700,64.627900,0.070769
12206.000000,-79.997500,64.605600,0.069590
12236.000000,-79.997500,64.583300,0.068410
12266.000000,-80.003700,64.568400,0.067231
12296.000000,-80.016100,64.553500,0.066051
12326.000000,-80.003700,64.531200,0.064872
12356.000000,-79.991300,64.516300,0.063692
12386.000000,-80.003700,64.494000,0.062513
12416.000000,-79.997500,64.479100,0.061333
12446.000000,-79.991300,64.464200,0.060154
12476.000000,-79.997500,64.449400,0.058975
12506.000000,-79.997500,64.427000,0.057795
12536.000000,-79.997500,64.412200,0.056616
12566.000000,-79.997500,64.389800,0.055436
12596.000000,-80.003700,64.367500,0.054257
12626.000000,-80.003700,64.352600,0.053077
12656.000000,-80.003700,64.330300,0.051898
12686.000000,-80.009900,64.308000,0.050718
12716.000000,-79.997500,64.285700,0.049539
12746.000000,-80.003700,64.263300,0.048359
12776.000000,-79.997500,64.248500,0.047180
12806.000000,-79.997500,64.226100,0.046001
12836.000000,-80.003700,64.203800,0.044821
12866.000000,-80.003700,64.181500,0.043642
12896.000000,-80.003700,64.159200,0.042462
12926.000000,-80.003700,64.136900,0.041282
12956.000000,-79.997500,64.114500,0.040103
12986.000000,-80.003700,64.084800,0.038924
13016.000000,-79.997500,64.069900,0.037744
13046.000000,-80.003700,64.032700,0.036565
13076.000000,-80.003700,64.002900,0.035385
13106.000000,-80.003700,63.973200,0.034206
13136.000000,-79.997500,63.950800,0.033026
13166.000000,-79.997500,63.913600,0.031847
13196.000000,-80.003700,63.869000,0.030667
13226.000000,-80.003700,63.831800,0.029488
13256.000000,-80.016100,63.779700,0.028308
13286.000000,-80.009900,63.720200,0.027128
13316.000000,-80.003700,63.668100,0.025949
13346.000000,-80.003700,63.601100,0.024769
13376.000000,-80.003700,63.526700,0.023590
13406.000000,-80.003700,63.437500,0.022410
13436.000000,-79.997500,63.340700,0.021231
13466.000000,-80.009900,63.221700,0.020051
13496.000000,-80.009900,63.087700,0.018872
13526.000000,-79.997500,62.938900,0.017692
13556.000000,-80.003700,62.767800,0.016513
13586.000000,-79.997500,62.566900,0.015333
13616.000000,-79.997500,62.321400,0.014154
13646.000000,-80.003700,62.023800,0.012975
13676.000000,-80.003700,61.651700,0.011795
13706.000000,-80.009900,61.168100,0.010615
13736.000000,-80.003700,60.535700,0.009436
13766.000000,-79.997500,59.687500,0.008256
13796.000000,-79.997500,58.586300,0.007077
13826.000000,-80.003700,57.284200,0.005898
13856.000000,-79.997500,55.684500,0.004718
13886.000000,-80.003700,53.735100,0.003539
13916.000000,-80.003700,51.220200,0.002359
13946.000000,-80.009900,47.819900,0.001180
13976.000000,-80.003700,43.660700,0.000000
14000.000000,-80.003700,40.000000,0.000000
14000.000000,0.000000,56.279700,0.000000
14030.000000,0.000000,63.958300,0.000000
14060.000000,0.000000,65.409200,0.000000
14060.000000,80.028500,72.447900,0.000000
14090.000000,80.022300,73.244000,0.001042
14120.000000,80.016100,73.653200,0.002084
14150.000000,80.022300,73.787200,0.003126
14180.000000,80.016100,73.854100,0.004168
14210.000000,80.022300,73.891300,0.005210
14240.000000,80.009900,73.906200,0.006251
14270.000000,80.016100,73.913600,0.007293
14300.000000,80.016100,73.928500,0.008335
14330.000000,80.022300,73.936000,0.009377
14360.000000,80.022300,73.943400,0.010419
14390.000000,80.016100,73.950800,0.011461
14420.000000,80.022300,73.965700,0.012503
14450.000000,80.022300,73.965700,0.013545
14480.000000,80.022300,73.980600,0.014587
14510.000000,80.009900,73.988000,0.015629
14540.000000,80.016100,74.002900,0.016671
14570.000000,80.022300,74.010400,0.017712
14600.000000,80.016100,74.025200,0.018754
14630.000000,80.016100,74.032700,0.019796
14660.000000,80.022300,74.047600,0.020838
14690.000000,80.016100,74.055000,0.021880
14720.000000,80.022300,74.077300,0.022922
14750.000000,80.016100,74.092200,0.023964
14780.000000,80.009900,74.099700,0.025006
14810.000000,80.009900,74.114500,0.026047
14840.000000,80.009900,74.129400,0.027089
14870.000000,80.009900,74.144300,0.028131
14900.000000,80.009900,74.159200,0.029173
14930.000000,80.016100,74.166600,0.030215
14960.000000,80.009900,74.181500,0.031257
14990.000000,80.016100,74.196400,0.032298
15020.000000,80.016100,74.203800,0.033340
15050.000000,80.016100,74.218700,0.034382
15080.000000,80.016100,74.233600,0.035424
15110.000000,80.009900,74.248500,0.036466
15140.000000,80.009900,74.255900,0.037508
15170.000000,80.016100,74.270800,0.038550
15200.000000,80.016100,74.278200,0.039591
15230.000000,80.009900,74.293100,0.040633
15260.000000,80.016100,74.308000,0.041675
15290.000000,80.022300,74.315400,0.042717
15320.000000,80.022300,74.322900,0.043759
15350.000000,80.003700,74.330300,0.044801
15380.000000,80.009900,74.345200,0.045842
15410.000000,80.016100,74.352600,0.046884
15440.000000,80.022300,74.367500,0.047926
15470.000000,80.016100,74.375000,0.048968
15500.000000,80.022300,74.389800,0.050010
15530.000000,80.016100,74.404700,0.051052
15560.000000,80.022300,74.412200,0.052094
15590.000000,80.016100,74.419600,0.053136
15620.000000,80.016100,74.434500,0.054178
15650.000000,80.016100,74.441900,0.055220
15680.000000,80.016100,74.456800,0.056261
15710.000000,80.022300,74.464200,0.057303
15740.000000,80.022300,74.479100,0.058345
15770.000000,80.022300,74.494000,0.059387
15800.000000,80.009900,74.501400,0.060429
15830.000000,80.022300,74.508900,0.061471
15860.000000,80.016100,74.523800,0.062513
15890.000000,80.022300,74.531200,0.063555
15920.000000,80.022300,74.546100,0.064597
15950.000000,80.009900,74.561000,0.065639
15980.000000,80.022300,74.561000,0.066681
16010.000000,80.022300,74.575800,0.067723
16040.000000,80.022300,74.583300,0.068765
16070.000000,80.016100,74.590700,0.069806
16100.000000,80.016100,74.598200,0.070848
16130.000000,80.003700,74.605600,0.071890
16160.000000,80.022300,74.620500,0.072932
16190.000000,80.022300,74.627900,0.073974
16220.000000,80.009900,74.635400,0.075016
16250.000000,80.022300,74.642800,0.076058
16280.000000,80.022300,74.650200,0.077100
16310.000000,80.009900,74.657700,0.078141
16340.000000,80.009900,74.665100,0.079183
16370.000000,80.009900,74.672600,0.080225
16400.000000,80.009900,74.680000,0.081267
16430.000000,80.009900,74.687500,0.082309
16460.000000,80.022300,74.694900,0.083351
16490.000000,80.016100,74.702300,0.084392
16520.000000,80.016100,74.709800,0.085434
16550.000000,80.009900,74.717200,0.086476
16580.000000,80.016100,74.724700,0.087518
16610.000000,80.009900,74.724700,0.088560
16640.000000,80.022300,74.732100,0.089602
16670.000000,80.022300,74.747000,0.090644
16700.000000,80.022300,74.747000,0.091686
16730.000000,80.016100,74.754400,0.092728
16760.000000,80.009900,74.754400,0.093769
16790.000000,80.009900,74.761900,0.094811
16820.000000,80.009900,74.769300,0.095853
16850.000000,80.016100,74.776700,0.096895
16880.000000,80.009900,74.784200,0.097937
16910.000000,80.009900,74.784200,0.098978
16940.000000,80.009900,74.799100,0.100020
16970.000000,80.022300,74.806500,0.101062
17000.000000,80.022300,74.806500,0.102104
17030.000000,80.016100,74.813900,0.103146
17060.000000,80.022300,74.821400,0.104188
17090.000000,80.009900,74.821400,0.105230
17120.000000,80.009900,74.828800,0.106272
17150.000000,80.009900,74.836300,0.107313
17180.000000,80.016100,74.843700,0.108355
17210.000000,80.022300,74.851100,0.109397
17240.000000,80.028500,74.851100,0.110439
17270.000000,80.009900,74.851100,0.111481
17300.000000,80.009900,74.858600,0.112523
17330.000000,80.009900,74.866000,0.113565
17360.000000,80.022300,74.873500,0.114607
17390.000000,80.016100,74.873500,0.115648
17420.000000,80.016100,74.880900,0.116690
17450.000000,80.022300,74.888300,0.117732
17480.000000,80.022300,74.888300,0.118774
17510.000000,80.016100,74.895800,0.119816
17540.000000,80.016100,74.895800,0.120858
17570.000000,80.022300,74.910700,0.121900
17600.000000,80.022300,74.910700,0.122942
17630.000000,80.022300,74.918100,0.123984
17660.000000,80.022300,74.925500,0.125026
17660.000000,80.022300,74.925500,0.125026
17660.000000,0.000000,70.781200,0.125026
17690.000000,0.000000,70.394300,0.125026
17720.000000,0.000000,70.379400,0.125026
17720.000000,-80.009900,67.410700,0.125026
17750.000000,-79.997500,65.892800,0.123889
17780.000000,-79.997500,65.714200,0.122753
17810.000000,-79.997500,65.691900,0.121616
